stateno,state_name,state_icpsr,state_fips,state_abrev,elect_year,sen_prop_up,hs_prop_up,ranney1_sen_dem_prop,ranney2_hs_dem_prop,ranney3_gub_prop,ranney4_control,ranney4_control_alt,ranney1_sen_dem_prop_4yr,ranney2_hs_dem_prop_4yr,ranney3_gub_prop_4yr,ranney4_control_4yr,ranney4_control_alt_4yr,ranney1_sen_dem_prop_6yr,ranney2_hs_dem_prop_6yr,ranney3_gub_prop_6yr,ranney4_control_6yr,ranney4_control_alt_6yr,ranney1_sen_dem_prop_8yr,ranney2_hs_dem_prop_8yr,ranney3_gub_prop_8yr,ranney4_control_8yr,ranney4_control_alt_8yr,ranney1_sen_dem_prop_10yr,ranney2_hs_dem_prop_10yr,ranney3_gub_prop_10yr,ranney4_control_10yr,ranney4_control_alt_10yr,ranney_4yrs,ranney_6yrs,ranney_8yrs,ranney_10yrs,ranney_4yrs_alt,ranney_6yrs_alt,ranney_8yrs_alt,ranney_10yrs_alt,folded_ranney_4yrs,folded_ranney_6yrs,folded_ranney_8yrs,folded_ranney_10yrs,folded_ranney_alt_4yrs,folded_ranney_alt_6yrs,folded_ranney_alt_8yrs,folded_ranney_alt_10yrs,hvd1_winper_4yr,hvd2_winmargin_4yr,hvd3_uncont_4yr,hvd4_safeseat_4yr,unusable_seats_4yr_per,hvd1_winper_6yr,hvd2_winmargin_6yr,hvd3_uncont_6yr,hvd4_safeseat_6yr,unusable_seats_6yr_per,hvd1_winper_8yr,hvd2_winmargin_8yr,hvd3_uncont_8yr,hvd4_safeseat_8yr,unusable_seats_8yr_per,hvd1_winper_10yr,hvd2_winmargin_10yr,hvd3_uncont_10yr,hvd4_safeseat_10yr,unusable_seats_10yr_per,hvd_4yr,hvd_6yr,hvd_8yr,hvd_10yr,sf_hvd_4yr,sf_ranney_4yr,sf_hvd_8yr,sf_ranney_8yr,sf_hvd_10yr,sf_ranney_10yr
1,Alabama,41,1,AL,1948,0,0,1,0.990566,0.8867,1,1,1,0.990566,0.888575,1,1,1,0.990566,0.89045,1,1,1,0.990566,0.8890125,1,1,1,0.990566,0.88625,1,1,0.9697853,0.970254,0.9698946,0.969204,0.9697853,0.970254,0.9698946,0.969204,0.5302147,0.529746,0.5301054,0.530796,0.5302147,0.529746,0.5301054,0.530796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1949,0,0,1,0.990566,0.8867,1,1,1,0.990566,0.8867,1,1,1,0.990566,0.8892,1,1,1,0.990566,0.89045,1,1,1,0.990566,0.8874,1,1,0.9693165,0.9699415,0.970254,0.9694915,0.9693165,0.9699415,0.970254,0.9694915,0.5306835,0.5300585,0.529746,0.5305085,0.5306835,0.5300585,0.529746,0.5305085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1950,1,1,1,0.990566,0.911,1,1,1,0.990566,0.892775,1,1,1,0.990566,0.892,1,1,1,0.990566,0.89255,1,1,1,0.990566,0.89098,1,1,0.9708353,0.9706415,0.970779,0.9703865,0.9708353,0.9706415,0.970779,0.9703865,0.5291647,0.5293585,0.529221,0.5296135,0.5291647,0.5293585,0.529221,0.5296135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1951,0,0,1,0.990566,0.911,1,1,1,0.990566,0.89885,1,1,1,0.990566,0.8948,1,1,1,0.990566,0.89465,1,1,1,0.990566,0.89456,1,1,0.972354,0.9713415,0.971304,0.9712815,0.972354,0.9713415,0.971304,0.9712815,0.527646,0.5286585,0.528696,0.5287185,0.527646,0.5286585,0.528696,0.5287185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1952,0,0,1,0.990566,0.911,1,1,1,0.990566,0.904925,1,1,1,0.990566,0.89885,1,1,1,0.990566,0.89675,1,1,1,0.990566,0.89624,1,1,0.9738728,0.972354,0.971829,0.9717015,0.9738728,0.972354,0.971829,0.9717015,0.5261272,0.527646,0.528171,0.5282985,0.5261272,0.527646,0.528171,0.5282985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1953,0,0,1,0.990566,0.911,1,1,1,0.990566,0.911,1,1,1,0.990566,0.9029,1,1,1,0.990566,0.89885,1,1,1,0.990566,0.89792,1,1,0.9753915,0.9733665,0.972354,0.9721215,0.9753915,0.9733665,0.972354,0.9721215,0.5246085,0.5266335,0.527646,0.5278785,0.5246085,0.5266335,0.527646,0.5278785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1954,1,1,1,1,0.7337,1,1,1,0.9929245,0.866675,1,1,1,0.9921383,0.8774,1,1,1,0.9917452,0.879725,1,1,1,0.9915094,0.88187,1,1,0.9648999,0.9673846,0.9678676,0.9683448,0.9648999,0.9673846,0.9678676,0.9683448,0.5351001,0.5326154,0.5321324,0.5316552,0.5351001,0.5326154,0.5321324,0.5316552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1955,0,0,1,1,0.7337,1,1,1,0.995283,0.82235,1,1,1,0.9937107,0.8519,1,1,1,0.9929245,0.8606,1,1,1,0.9924528,0.86582,1,1,0.9544083,0.9614027,0.9633811,0.9645682,0.9544083,0.9614027,0.9633811,0.9645682,0.5455917,0.5385973,0.5366189,0.5354318,0.5455917,0.5385973,0.5366189,0.5354318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1956,0,0,1,1,0.7337,1,1,1,0.9976415,0.778025,1,1,1,0.995283,0.82235,1,1,1,0.9941037,0.841475,1,1,1,0.9933962,0.85052,1,1,0.9439166,0.9544083,0.9588947,0.960979,0.9439166,0.9544083,0.9588947,0.960979,0.5560834,0.5455917,0.5411053,0.539021,0.5560834,0.5455917,0.5411053,0.539021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1957,0,0,1,1,0.7337,1,1,1,1,0.7337,1,1,1,0.9968553,0.7928,1,1,1,0.995283,0.82235,1,1,1,0.9943396,0.83522,1,1,0.933425,0.9474138,0.9544083,0.9573899,0.933425,0.9474138,0.9544083,0.9573899,0.566575,0.5525862,0.5455917,0.5426101,0.566575,0.5525862,0.5455917,0.5426101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1958,1,1,1,1,0.8874,1,1,1,1,0.772125,1,1,1,0.9984277,0.7888666,1,1,1,0.9964622,0.8194,1,1,1,0.995283,0.83529,1,1,0.9430313,0.9468236,0.9539655,0.9576433,0.9430313,0.9468236,0.9539655,0.9576433,0.5569687,0.5531764,0.5460345,0.5423567,0.5569687,0.5531764,0.5460345,0.5423567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1959,0,0,1,1,0.8874,1,1,1,1,0.81055,1,1,1,1,0.7849333,1,1,1,0.9976415,0.81645,1,1,1,0.9962264,0.83536,1,1,0.9526375,0.9462333,0.9535229,0.9578966,0.9526375,0.9462333,0.9535229,0.9578966,0.5473625,0.5537667,0.5464771,0.5421034,0.5473625,0.5537667,0.5464771,0.5421034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1960,0,0,1,1,0.8874,1,1,1,1,0.848975,1,1,1,1,0.81055,1,1,1,0.9988207,0.8135,1,1,1,0.9971698,0.833,1,1,0.9622437,0.9526375,0.9530802,0.9575424,0.9622437,0.9526375,0.9530802,0.9575424,0.5377563,0.5473625,0.5469198,0.5424576,0.5377563,0.5473625,0.5469198,0.5424576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1961,0,0,1,1,0.8874,1,1,1,1,0.8874,1,1,1,1,0.8361667,1,1,1,1,0.81055,1,1,1,0.9981132,0.83064,1,1,0.97185,0.9590417,0.9526375,0.9571883,0.97185,0.9590417,0.9526375,0.9571883,0.52815,0.5409583,0.5473625,0.5428117,0.52815,0.5409583,0.5473625,0.5428117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1962,1,1,1,0.9811321,1,1,1,1,0.995283,0.91555,1,1,1,0.9968554,0.88055,1,1,1,0.9976415,0.8438375,1,1,1,0.9971698,0.83954,1,1,0.9777082,0.9693514,0.9603698,0.9591774,0.9777082,0.9693514,0.9603698,0.9591774,0.5222918,0.5306486,0.5396302,0.5408226,0.5222918,0.5306486,0.5396302,0.5408226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1963,0,0,1,0.9811321,1,1,1,1,0.9905661,0.9437,1,1,1,0.9937107,0.9249333,1,1,1,0.995283,0.877125,1,1,1,0.9962264,0.84844,1,1,0.9835665,0.979661,0.968102,0.9611666,0.9835665,0.979661,0.968102,0.9611666,0.5164335,0.520339,0.531898,0.5388334,0.5164335,0.520339,0.531898,0.5388334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1964,0,0,1,0.9811321,1,1,1,1,0.9858491,0.97185,1,1,1,0.9905661,0.9437,1,1,1,0.9929245,0.9104125,1,1,1,0.9943396,0.87507,1,1,0.9894248,0.9835665,0.9758343,0.9673524,0.9894248,0.9835665,0.9758343,0.9673524,0.5105752,0.5164335,0.5241657,0.5326476,0.5105752,0.5164335,0.5241657,0.5326476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1965,0,0,1,0.9811321,1,1,1,1,0.9811321,1,1,1,1,0.9874214,0.9624667,1,1,1,0.9905661,0.9437,1,1,1,0.9924529,0.9017,1,1,0.995283,0.987472,0.9835665,0.9735382,0.995283,0.987472,0.9835665,0.9735382,0.504717,0.512528,0.5164335,0.5264618,0.504717,0.512528,0.5164335,0.5264618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1966,1,1,0.9714286,1,0.6715,1,1,0.9928572,0.9858491,0.917875,1,1,0.9952381,0.9874214,0.9264833,1,1,0.9964285,0.9905661,0.9167125,1,1,0.9971429,0.9924529,0.89548,1,1,0.9741453,0.9772857,0.9759268,0.9712689,0.9741453,0.9772857,0.9759268,0.9712689,0.5258547,0.5227143,0.5240732,0.5287311,0.5258547,0.5227143,0.5240732,0.5287311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1967,0,0,0.9714286,1,0.6715,1,1,0.9857143,0.9905661,0.83575,1,1,0.9904762,0.9874214,0.8905,1,1,0.9928572,0.9905661,0.889725,1,1,0.9942857,0.9924529,0.88926,1,1,0.9530076,0.9670994,0.9682871,0.9689996,0.9530076,0.9670994,0.9682871,0.9689996,0.5469924,0.5329006,0.5317129,0.5310004,0.5469924,0.5329006,0.5317129,0.5310004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1968,0,0,0.9714286,1,0.6715,1,1,0.9785715,0.995283,0.753625,1,1,0.9857143,0.9905661,0.83575,1,1,0.9892857,0.9905661,0.8627375,1,1,0.9914286,0.9924529,0.86767,1,1,0.9318699,0.9530076,0.9606473,0.9628879,0.9318699,0.9530076,0.9606473,0.9628879,0.5681301,0.5469924,0.5393527,0.5371121,0.5681301,0.5469924,0.5393527,0.5371121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1969,0,0,0.9714286,1,0.6715,1,1,0.9714286,1,0.6715,1,1,0.9809524,0.9937107,0.781,1,1,0.9857143,0.9905661,0.83575,1,1,0.9885715,0.9924529,0.84608,1,1,0.9107322,0.9389158,0.9530076,0.9567761,0.9107322,0.9389158,0.9530076,0.9567761,0.5892678,0.5610842,0.5469924,0.5432239,0.5892678,0.5610842,0.5469924,0.5432239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1970,1,1,1,0.9809524,1,1,1,0.9785715,0.9952381,0.753625,1,1,0.9809524,0.9936808,0.781,1,1,0.9857143,0.9905436,0.83575,1,1,0.9885715,0.9905481,0.85734,1,1,0.9318587,0.9389083,0.953002,0.9591149,0.9318587,0.9389083,0.953002,0.9591149,0.5681413,0.5610917,0.546998,0.5408851,0.5681413,0.5610917,0.546998,0.5408851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1971,0,0,1,0.9809524,1,1,1,0.9857143,0.9904762,0.83575,1,1,0.9809524,0.9936508,0.781,1,1,0.9857143,0.9905211,0.83575,1,1,0.9885715,0.9886433,0.8686,1,1,0.9529851,0.9389008,0.9529964,0.9614537,0.9529851,0.9389008,0.9529964,0.9614537,0.5470149,0.5610992,0.5470036,0.5385463,0.5470149,0.5610992,0.5470036,0.5385463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1972,0,0,1,0.9809524,1,1,1,0.9928572,0.9857143,0.917875,1,1,0.9857143,0.9904762,0.83575,1,1,0.9857143,0.9904987,0.83575,1,1,0.9885715,0.9886253,0.8686,1,1,0.9741116,0.9529851,0.9529908,0.9614492,0.9741116,0.9529851,0.9529908,0.9614492,0.5258884,0.5470149,0.5470092,0.5385508,0.5258884,0.5470149,0.5470092,0.5385508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alabama,41,1,AL,1973,0,0,1,0.9809524,1,1,1,1,0.9809524,1,1,1,0.9904762,0.9873016,0.8905,1,1,0.9857143,0.9904762,0.83575,1,1,0.9885715,0.9886074,0.8686,1,1,0.9952381,0.9670694,0.9529851,0.9614447,0.9952381,0.9670694,0.9529851,0.9614447,0.5047619,0.5329306,0.5470149,0.5385553,0.5047619,0.5329306,0.5470149,0.5385553,98.39442,96.84797,96.15385,97.11539,49.75742,,,,,,,,,,,,,,,,2.872093,,,,28.9632,0.5684,,,,
1,Alabama,41,1,AL,1974,1,1,1,1,0.8492,1,1,1,0.9857143,0.9623,1,1,0.9952381,0.9873016,0.9201167,1,1,0.9892857,0.9904762,0.8579625,1,1,0.9885715,0.9904942,0.85352,1,1,0.9870036,0.9756641,0.9594311,0.9581464,0.9870036,0.9756641,0.9594311,0.9581464,0.5129964,0.5243359,0.5405689,0.5418536,0.5129964,0.5243359,0.5405689,0.5418536,95.88416,91.99967,89.06468,97.88461,37.83857,,,,,,,,,,,,,,,,6.291718,,,,,,,,,
1,Alabama,41,1,AL,1975,0,0,1,1,0.8492,1,1,1,0.9904762,0.9246,1,1,1,0.9873016,0.9497333,1,1,0.9928572,0.9904762,0.880175,1,1,0.9885715,0.992381,0.83844,1,1,0.9787691,0.9842587,0.9658771,0.9548481,0.9787691,0.9842587,0.9658771,0.9548481,0.5212309,0.5157413,0.5341229,0.5451519,0.5212309,0.5157413,0.5341229,0.5451519,94.18825,88.72558,84.29487,98.39743,25.89032,95.25036,90.77592,87.28022,98.07692,33.85909,92.23235,84.75493,77.57848,95.51569,32.83133,,,,,,8.598465,7.154144,12.47964,,,,,,,
1,Alabama,41,1,AL,1976,0,0,1,1,0.8492,1,1,1,0.9952381,0.8869,1,1,1,0.9904762,0.9246,1,1,0.9964285,0.9904762,0.9023875,1,1,0.9914286,0.992381,0.85621,1,1,0.9705346,0.9787691,0.9723231,0.9600049,0.9705346,0.9787691,0.9723231,0.9600049,0.5294654,0.5212309,0.5276769,0.5399951,0.5294654,0.5212309,0.5276769,0.5399951,92.96535,86.36539,80.86539,98.76373,13.91245,94.18825,88.72557,84.29487,98.39743,25.89032,91.86839,84.03858,75.70094,96.26168,29.04509,,,,,,10.26004,8.598473,13.03261,,,,,,,
1,Alabama,41,1,AL,1977,0,0,1,1,0.8492,1,1,1,1,0.8492,1,1,1,0.9936508,0.8994667,1,1,1,0.9904762,0.9246,1,1,0.9942857,0.992381,0.87398,1,1,0.9623,0.9732794,0.9787691,0.9651617,0.9623,0.9732794,0.9787691,0.9651617,0.5377,0.5267206,0.5212309,0.5348383,0.5377,0.5267206,0.5212309,0.5348383,92.04164,84.58305,78.28054,99.03846,1.904762,93.33325,87.07538,81.89624,98.65385,17.90838,94.18825,88.72558,84.29487,98.39743,25.89032,,,,,,11.51408,9.760323,8.598465,,18.7107,0.548,,,,
1,Alabama,41,1,AL,1978,1,1,1,0.9619048,0.737,1,1,1,0.9904762,0.82115,1,1,1,0.9904762,0.8556333,1,1,1,0.9880952,0.891725,1,1,0.9971429,0.9885715,0.88053,1,1,0.9529065,0.9615273,0.9699551,0.9665611,0.9529065,0.9615273,0.9699551,0.9665611,0.5470935,0.5384727,0.5300449,0.5334389,0.5470935,0.5384727,0.5300449,0.5334389,91.54274,83.45832,76.40428,98.07628,1.428571,92.26678,84.89984,78.56312,98.16476,9.59588,93.22363,86.76501,81.30083,98.00525,19.66722,,,,,,12.62959,11.52637,10.17632,,,,,,,
1,Alabama,41,1,AL,1979,0,0,1,0.9619048,0.737,1,1,1,0.9809524,0.7931,1,1,1,0.9873016,0.8118,1,1,1,0.9857143,0.85885,1,1,1,0.9847619,0.88708,1,1,0.9435131,0.9497754,0.9611411,0.9679605,0.9435131,0.9497754,0.9611411,0.9679605,0.5564869,0.5502246,0.5388589,0.5320395,0.5564869,0.5502246,0.5388589,0.5320395,91.05141,82.35007,74.55794,97.12225,0.952381,91.37813,83.08709,75.78554,97.75738,1.269841,92.39642,85.08372,78.73315,97.66897,13.43655,93.15651,86.5742,80.93526,97.60192,20.72215,13.72958,12.99797,11.52943,10.43303,,,19.3203,0.5619,22.5499,0.5643
1,Alabama,41,1,AL,1980,0,0,1,0.9619048,0.737,1,1,1,0.9714286,0.76505,1,1,1,0.9809524,0.7931,1,1,1,0.9833333,0.825975,1,1,1,0.9828572,0.86078,1,1,0.9341196,0.9435131,0.9523271,0.9609093,0.9341196,0.9435131,0.9523271,0.9609093,0.5658804,0.5564869,0.5476729,0.5390907,0.5658804,0.5564869,0.5476729,0.5390907,90.56747,81.25793,72.74085,96.17624,0.4761905,91.05141,82.35007,74.55794,97.12225,0.952381,91.6792,83.62602,76.50681,97.37743,7.198276,92.48068,85.2038,78.84643,97.34947,15.73938,14.81438,13.72958,12.70264,11.52991,,,,,,
1,Alabama,41,1,AL,1981,0,0,1,0.9619048,0.737,1,1,1,0.9619048,0.737,1,1,1,0.9746032,0.7744,1,1,1,0.9809524,0.7931,1,1,1,0.9809524,0.83448,1,1,0.9247262,0.9372508,0.9435131,0.9538581,0.9247262,0.9372508,0.9435131,0.9538581,0.5752738,0.5627492,0.5564869,0.5461419,0.5752738,0.5627492,0.5564869,0.5461419,90.09077,80.18156,70.95238,95.2381,0,90.72797,81.62021,73.34334,96.49069,0.6349207,91.05141,82.35007,74.55794,97.12225,0.952381,91.87959,83.98492,76.98854,97.12493,10.75177,15.88429,14.45445,13.72958,12.5055,19.9298,0.5793,,,,
1,Alabama,41,1,AL,1982,1,1,0.9142857,0.9238095,0.5961,1,1,0.9785714,0.952381,0.701775,1,1,0.9857143,0.9619048,0.7322167,1,1,0.9892857,0.9714286,0.7614625,1,1,0.9914286,0.9752381,0.79409,1,1,0.9081818,0.9199589,0.9305442,0.9401891,0.9081818,0.9199589,0.9305442,0.9401891,0.5918182,0.5800411,0.5694558,0.5598109,0.5918182,0.5800411,0.5694558,0.5598109,90.49336,81.03949,72.20372,95.52417,2.261905,90.68348,81.48549,73.00759,96.06147,1.825397,91.02451,82.26291,74.33261,96.80476,1.845238,91.52905,83.29359,75.92224,97.05867,6.663994,15.18481,14.69049,13.8938,13.04912,,,,,,
1,Alabama,41,1,AL,1983,1,1,0.9142857,0.9238095,0.5961,1,1,0.9571428,0.9428571,0.66655,1,1,0.9714286,0.9492064,0.6900333,1,1,0.9785714,0.9619048,0.729825,1,1,0.9828572,0.9695238,0.7537,1,1,0.8916375,0.902667,0.9175753,0.9265202,0.8916375,0.902667,0.9175753,0.9265202,0.6083625,0.597333,0.5824247,0.5734798,0.6083625,0.597333,0.5824247,0.5734798,88.02956,76.73304,66.79768,93.54066,2.738095,88.72817,77.90217,68.20581,94.12083,1.825397,89.55824,79.576,70.73285,95.34906,1.845238,90.05574,80.57913,72.24638,96.08636,1.857143,18.72476,17.76076,16.19597,15.25809,,,,,,
1,Alabama,41,1,AL,1984,0,0,0.9142857,0.9238095,0.5961,1,1,0.9357143,0.9333333,0.631325,1,1,0.9571428,0.9428571,0.66655,1,1,0.9678571,0.952381,0.6981875,1,1,0.9742857,0.9619048,0.72839,1,1,0.8750932,0.8916375,0.9046064,0.9161451,0.8750932,0.8916375,0.9046064,0.9161451,0.6249068,0.6083625,0.5953936,0.5838549,0.6249068,0.6083625,0.5953936,0.5838549,85.54041,72.38161,61.33366,91.53586,3.214286,87.09026,75.03947,64.61265,92.80322,2.142857,88.09199,76.88908,67.13307,93.89334,1.845238,88.88284,78.42987,69.36731,94.92168,1.857143,22.30212,20.1136,18.49812,17.09958,,,,,,
1,Alabama,41,1,AL,1985,0,0,0.9142857,0.9238095,0.5961,1,1,0.9142857,0.9238095,0.5961,1,1,0.9428571,0.9365079,0.6430666,1,1,0.9571428,0.9428571,0.66655,1,1,0.9657143,0.9542857,0.70308,1,1,0.8585488,0.880608,0.8916375,0.90577,0.8585488,0.880608,0.8916375,0.90577,0.6414512,0.619392,0.6083625,0.59423,0.6414512,0.619392,0.6083625,0.59423,83.02541,67.98431,55.81052,89.50932,3.690476,85.44125,72.15712,60.99415,91.47633,2.460317,86.62572,74.20216,63.53329,92.43763,1.845238,87.70993,76.28061,66.48824,93.75699,1.857143,25.9176,22.48279,20.80029,18.94106,28.6892,0.6726,,,,
1,Alabama,41,1,AL,1986,1,1,0.8571429,0.8476191,0.4355,0.5,0,0.9,0.9047619,0.55595,0.875,0.75,0.9190476,0.9174603,0.5928167,0.9166667,0.8333333,0.9392857,0.9285715,0.6288625,0.9375,0.875,0.9514286,0.9390476,0.66171,0.95,0.9,0.808928,0.8364978,0.8585549,0.8755466,0.777678,0.8156645,0.8429299,0.8630465,0.691072,0.6635022,0.6414451,0.6244534,0.722322,0.6843355,0.6570701,0.6369535,81.9342,65.71994,52.36787,89.25024,1.547619,84.86488,71.0099,59.25453,91.39742,2.539682,86.19624,73.34709,62.23766,92.37731,1.904762,87.17615,75.16463,64.72786,93.33333,1.714286,27.68193,23.36832,21.46042,19.89951,,,,,,
